,Countries,Country Code,Latitude,Longitude,Poverty Headcount (% of National),Personal Remittances (% of GDP),CPI,GDP (in millions $USD)
0,Afghanistan,AF,33.93911,67.709953,54.5,4.29509842352293,149.895975208032,1929.11
1,Chile,CL,-35.675147,-71.542969,8.6,0.024830484940778,131.913566974844,27938.55
2,Croatia,HR,45.1,15.2000001,18.3,6.63770595829571,109.815676449535,6075.26
3,Dominican Republic,DO,18.735693,-70.162651,21.0,8.3432556329114,132.172234898705,8894.13
4,El Salvador,SV,13.794185,-88.89653,,21.0478188541997,111.228352310936,2689.67
5,Ecuador,EC,-1.831239,-78.18340599999999,25.0,2.99948574296015,124.142674729473,10810.8
6,Iran,IR,32.427908,53.688046,,0.515013819032159,550.929425291206,25824.55
7,Kazakhstan,KZ,48.019573,66.923684,4.3,0.278573142805116,188.51643427329,18166.72
8,Morocco,MA,31.791702,-7.092619999999999,4.8,5.81667462164613,111.067558219968,11970.03
9,Pakistan,PK,30.375321,69.34511599999999,21.9,7.99793241232888,182.320932671494,27822.19
10,Peru,PE,-9.189967,-75.015152,20.2,1.45573065690527,129.784544342759,22847.09
11,Philippines,PH,12.879721,121.774017,16.7,9.33261659590007,129.613257249479,37682.33
12,Saudi Arabia,SA,23.885942,45.079162,,0.0421239977838688,118.399825471917,79296.68
13,Switzerland,CH,46.818188,8.227511999999999,16.0,0.329791570206477,99.546896373006,73176.74
14,Ukraine,UA,48.379433,31.1655799,1.1,10.256643339312,281.658595641646,15392.95
15,United Arab Emirates,AE,23.424076,53.847818,,,114.524660532343,42114.23
16,Vietnam,VN,14.058324,108.277199,6.7,6.49050061218932,163.516947912918,26192.12
